title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,skills,predicted_min,predicted_max,salary_label,engpassberufe_info,is_engpassberuf,language_info,language_level,international_friendly
Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,,10000-1205211041-S,2026-04-16,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205211041-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",69575,120175,€70k - €120k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""HUK-COBURG VVaG"", ""region"": ""Bayern"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A2,True
Data Scientist,Constaff GmbH,,Unknown,,15220-2026-14462-S,2026-06-03,https://www.arbeitsagentur.de/jobsuche/jobdetail/15220-2026-14462-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",52250,90250,€52k - €90k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Constaff GmbH"", ""region"": ""Unknown"", ""language_level"": ""A1"", ""label"": ""A1 — Beginner"", ""description"": ""No German required — English fully sufficient"", ""emoji"": ""🟢"", ""score"": -3, ""reasons"": [""Company (Constaff GmbH) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A1,True
Data Scientist,Constaff GmbH,Frankfurt am Main,Hessen,,15220-2026-14441-S,2026-10-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/15220-2026-14441-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",56430,97470,€56k - €97k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Constaff GmbH"", ""region"": ""Hessen"", ""language_level"": ""A1"", ""label"": ""A1 — Beginner"", ""description"": ""No German required — English fully sufficient"", ""emoji"": ""🟢"", ""score"": -3, ""reasons"": [""Company (Constaff GmbH) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A1,True
Data Scientist,team SE,Flensburg,Schleswig-Holstein,,10001-1002616378-S,2026-04-23,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002616378-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",52250,90250,€52k - €90k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""team SE"", ""region"": ""Schleswig-Holstein"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -1, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A2,True
Data Scientist,AOK NordWest,Dortmund,Nordrhein-Westfalen,,10001-1003134800-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003134800-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",56100,96900,€56k - €97k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""AOK NordWest"", ""region"": ""Nordrhein-Westfalen"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -1, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A2,True
Data Scientist,Vodafone GmbH,Düsseldorf,Nordrhein-Westfalen,,17102-44195550-523-S,2026-07-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/17102-44195550-523-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",61710,106590,€62k - €107k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Vodafone GmbH"", ""region"": ""Nordrhein-Westfalen"", ""language_level"": ""A1"", ""label"": ""A1 — Beginner"", ""description"": ""No German required — English fully sufficient"", ""emoji"": ""🟢"", ""score"": -3, ""reasons"": [""Company (Vodafone GmbH) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A1,True
Data Scientist,FERCHAU GmbH Niederlassung Mannheim,Bruchsal,Baden-Württemberg,,12265-505528_JB5149284-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/12265-505528_JB5149284-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",58520,101080,€59k - €101k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""FERCHAU GmbH Niederlassung Mannheim"", ""region"": ""Baden-Württemberg"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -1, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A2,True
Datenbankentwickler/in,Miele,Gütersloh,Nordrhein-Westfalen,,13644-303024-S,2026-06-06,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-303024-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""sql""], ""Data & Analytics"": [""power bi"", ""tableau""]}",44880,75480,€45k - €75k,"{""title"": ""Datenbankentwickler/in"", ""is_engpassberuf"": false, ""category"": null, ""matched_role"": null, ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 0, ""visa_info"": ""Not on shortage occupation list. Standard EU Blue Card threshold: €58,400/year."", ""badge"": ""⚪ Standard occupation""}",False,"{""title"": ""Datenbankentwickler/in"", ""company"": ""Miele"", ""region"": ""Nordrhein-Westfalen"", ""language_level"": ""B1"", ""label"": ""B1 — Intermediate"", ""description"": ""Basic German needed for daily communication"", ""emoji"": ""🟡"", ""score"": 0, ""reasons"": [], ""international_friendly"": true}",B1,True
Data Scientist,Forto Logistics SE & Co. KG,Berlin,Berlin,,10000-1206543821-S,2026-06-03,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206543821-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",57750,99750,€58k - €100k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Forto Logistics SE & Co. KG"", ""region"": ""Berlin"", ""language_level"": ""A1"", ""label"": ""A1 — Beginner"", ""description"": ""No German required — English fully sufficient"", ""emoji"": ""🟢"", ""score"": -4, ""reasons"": [""Company (Forto Logistics SE & Co. KG) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally"", ""Berlin has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A1,True
Data Scientist,Körber AG,Markt Schwaben,Bayern,,14470-44073430-331-S,2026-04-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14470-44073430-331-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",63250,109250,€63k - €109k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Körber AG"", ""region"": ""Bayern"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A2,True
