title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,skills
Data Scientist,team SE,Flensburg,Schleswig-Holstein,,10001-1002616378-S,2026-04-23,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002616378-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,AOK NordWest,Dortmund,Nordrhein-Westfalen,,10001-1003134800-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003134800-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Vodafone GmbH,Düsseldorf,Nordrhein-Westfalen,,17102-44195550-523-S,2026-07-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/17102-44195550-523-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,FERCHAU GmbH Niederlassung Mannheim,Bruchsal,Baden-Württemberg,,12265-505528_JB5149284-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/12265-505528_JB5149284-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Datenbankentwickler/in,Miele,Gütersloh,Nordrhein-Westfalen,,13644-303024-S,2026-06-06,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-303024-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""sql""], ""Data & Analytics"": [""power bi"", ""tableau""]}"
Data Scientist,Forto Logistics SE & Co. KG,Berlin,Berlin,,10000-1206543821-S,2026-06-03,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206543821-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Körber AG,Markt Schwaben,Bayern,,14470-44073430-331-S,2026-04-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14470-44073430-331-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Akkodis Germany Tech Experts GmbH,Berlin,Berlin,,12634-BB-641049-7878-6713-S,2026-05-20,https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-641049-7878-6713-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Akkodis Germany Tech Experts GmbH,Berlin,Berlin,,12634-BB-641048-7878-9339-S,2026-05-15,https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-641048-7878-9339-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Statistiker/in,Gesamtverband der Deutschen Versicherungswirtschaft e. V.,Berlin,Berlin,,14225-7915adb9ee109cae-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-7915adb9ee109cae-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sas""], ""Data Science Skills"": [""statistik"", ""regression"", ""time series""]}"
Betriebswirt/in (Hochschule),AOK Baden - Württemberg Hauptverwaltung,,Baden-Württemberg,,12613-9689-200914-1105353-S,2026-09-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/12613-9689-200914-1105353-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r""]}"
Data Scientist,AOK NordWest,Dortmund,Nordrhein-Westfalen,,12908-062409693-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/12908-062409693-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Hellweg,Dortmund,Nordrhein-Westfalen,,12288-4830283663-S,2026-06-04,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4830283663-S,2026-06-06 22:29:41,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Informatiker/in,Ins. für Arbeitswissenschaft und Technologiemanagement IAT der Universität Stuttgart,Stuttgart,Baden-Württemberg,,10000-1206647430-S,2026-05-29,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206647430-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""java"", ""python"", ""sql""], ""Cloud & DevOps"": [""git"", ""docker"", ""rest api""]}"
