title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,description
Data Scientist,quo data GmbH Qualitätsmanagement und Statistik,Dresden,Sachsen,,10000-1206481696-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206481696-S,2026-06-06 22:29:41,
Data Scientist,advanced engineering GmbH,Landsberg am Lech,Bayern,,12288-4805928981-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4805928981-S,2026-06-06 22:29:41,
Informatiker/in,Rheinland Kraftstoff GmbH,Gelsenkirchen,Nordrhein-Westfalen,,10001-1003031136-S,2026-05-07,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003031136-S,2026-06-06 22:29:41,
Datenbankentwickler/in,SCHICKLER Unternehmensberatung,Hamburg,Hamburg,,13644-262060-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-262060-S,2026-06-06 22:29:41,
Datenbankentwickler/in,lise GmbH,Köln,Nordrhein-Westfalen,,13644-297872-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-297872-S,2026-06-06 22:29:41,
Datenbankentwickler/in,CTcon,Frankfurt am Main,Hessen,,13644-47175-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-47175-S,2026-06-06 22:29:41,
Data Scientist,Josef WITT GmbH,Weiden in der Oberpfalz,Bayern,,10001-1002106290-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002106290-S,2026-06-06 22:29:41,
Informatiker/in,Universität Trier,Trier,Rheinland-Pfalz,,14225-f5d10af170fb8c49-S,2026-06-04,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-f5d10af170fb8c49-S,2026-06-06 22:29:41,
Informatiker/in,PAJUNK® Medical Produkte GmbH,"Geisingen, Baden",Baden-Württemberg,,14225-da546b1eb3f8417e-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-da546b1eb3f8417e-S,2026-06-06 22:29:41,
Data Scientist,Universität Regensburg Land Bayern,Regensburg,Bayern,,18973-ma2girf9zm-S,2026-07-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/18973-ma2girf9zm-S,2026-06-06 22:29:41,
